applicant_gen2, cited_patent_gen2, citing_applicant_gen2, citing_patents_gen2, ipc_current, title_original
"BROAD INSTITUTE INC","","","","C12N-0015/63","APLICAÇÃO, MANIPULAÇÃO E OTIMIZAÇÃO DE SISTEMAS, MÉTODOS E COMPOSIÇÕES PARA MANIPULAÇÃO DE SEQUÊNCIA E APLICAÇÕES TERAPÊUTICAS"
"BROAD INSTITUTE INC","","","","C12N-0015/63","SISTEMAS E MÉTODOS CRISPR-CAS PARA ALTERAR A EXPRESSÃO DOS PRODUTOS DE GENES"
"BROAD INSTITUTE INC","","","","C12N-0015/63","SISTEMAS DE COMPONENTE CRISPR-CAS, MÉTODOS E COMPOSIÇÕES PARA MANIPULAÇÃO DE SEQUÊNCIA"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","APLICAÇÃO, MANIPULAÇÃO E OTIMIZAÇÃO DE SISTEMAS, MÉTODOS E COMPOSIÇÕES PARA DIRECIONAMENTO E MODELAÇÃO DE DOENÇAS E DISTÚRBIOS DE CÉLULAS PÓS-MITÓTICAS"
"BROAD INSTITUTE INC","","","","C12N-0015/63","CRISPR-CAS COMPONENT SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION | SYSTEMES DE COMPOSANTS DE CRISPR-CAS, PROCEDES ET COMPOSITIONS POUR LA MANIPULATION DE SEQUENCES"
"BROAD INSTITUTE INC","","","","C12N-0015/63","DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION AND THERAPEUTIC APPLICATIONS | DELIVRANCE, FABRICATION ET OPTIMISATION DE SYSTEMES, DE PROCEDES ET DE COMPOSITIONS POUR LA MANIPULATION DE SEQUENCES ET APPLICATIONS THERAPEUTIQUES"
"BROAD INSTITUTE INC","","","","C12N-0015/63","ENGINEERING AND OPTIMIZATION OF IMPROVED SYSTEMS, METHODS AND ENZYME COMPOSITIONS FOR SEQUENCE MANIPULATION | FABRICATION ET OPTIMISATION DE SYSTEMES, PROCEDES ET COMPOSITIONS D'ENZYME AMELIORES POUR LA MANIPULATION DE SEQUENCES"
"BROAD INSTITUTE INC","","","","C12N-0015/63","CRISPR-CAS SYSTEMS AND METHODS FOR ALTERING EXPRESSION OF GENE PRODUCTS | SYSTEMES CRISPR-CAS ET PROCEDES POUR MODIFIER L'EXPRESSION DE PRODUITS DE GENE"
"BROAD INSTITUTE INC","","","","C12N-0015/63","ENGINEERING OF SYSTEMS, METHODS AND OPTIMIZED GUIDE COMPOSITIONS FOR SEQUENCE MANIPULATION | FABRICATION DE SYSTEMES, PROCEDES ET COMPOSITIONS DE GUIDE OPTIMISEES POUR LA MANIPULATION DE SEQUENCES"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","DELIVERY, USE AND THERAPEUTIC APPLICATIONS OF THE CRISPR-CAS SYSTEMS AND COMPOSITIONS FOR TARGETING DISORDERS AND DISEASES USING VIRAL COMPONENTS | ADMINISTRATION, UTILISATION ET APPLICATIONS THERAPEUTIQUES DE SYSTEMES CRISPR-CAS ET COMPOSITIONS POUR CIBLER LES TROUBLES ET MALADIES EN UTILISANT DES ELEMENTS VIRAUX"
"MIT","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","DELIVERY, ENGINEERING AND OPTIMIZATION OF TANDEM GUIDE SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION | ADMINISTRATION, MODIFICATION ET OPTIMISATION DE SYSTEMES GUIDES TANDEMS, METHODES ET COMPOSITIONS POUR LA MANIPULATION DE SEQUENCE"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","OPTIMIZED CRISPR-CAS DOUBLE NICKASE SYSTEMS, METHODS AND COMPOSITIONS FOR SEQUENCE MANIPULATION | SYSTEMES, PROCEDES ET COMPOSITIONS A DOUBLE NICKASE CRISPR-CAS OPTIMISES, POUR LA MANIPULATION DE SEQUENCES"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","DELIVERY AND USE OF THE CRISPR-CAS SYSTEMS, VECTORS AND COMPOSITIONS FOR HEPATIC TARGETING AND THERAPY | ADMINISTRATION ET UTILISATION DE SYSTEMES CRISPR-CAS, VECTEURS ET COMPOSITIONS POUR LE CIBLAGE ET LE TRAITEMENT DU FOIE"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","DELIVERY, ENGINEERING AND OPTIMIZATION OF SYSTEMS, METHODS AND COMPOSITIONS FOR TARGETING AND MODELING DISEASES AND DISORDERS OF POST MITOTIC CELLS | DELIVRANCE, MODIFICATION ET OPTIMISATION DE SYSTEMES, PROCEDES ET COMPOSITIONS POUR CIBLER ET MODELISER DES MALADIES ET DES TROUBLES LIES AUX CELLULES POST-MITOTIQUES"
"BROAD INSTITUTE INC","","","","C12N-0015/63","Guiding composition of the engineering system, and method for optimizing operation sequence"
"BROAD INSTITUTE INC","CN101228176A","SHANGHAI BOVAX BIOLOGICAL SCIENCE & TECH CO LTD; UNIV JIANGSU","CN105548420A; CN105624191A; CN105624196A","C12N-0015/63","System for sequence controlling and treating application,delivery of method and composition,engineering and optimizing"
"Jiangsu University,Zhenjiang,Jiangsu,212013,CN","CN102653756A; CN104593418A; CN105164264A; WO2012045731A1","","","A01K-0067/027; C12N-0015/89","A method of building CYP2C11 gene knockout mouse model"
"Jiangsu University,Zhenjiang,Jiangsu,212013,CN","CN102653756A; CN104593418A; CN105164264A; WO2012045731A1","SUN YAT-SEN UNIV","CN106191057A","A01K-0067/027; C12N-0015/85","A method of building CYP2D1 gene knockout mouse model"
"Shanghai Bowei Biological Technology","CN101303332A; CN104797582A; CN104797585A; CN105164264A; CN105177025A","","","G01N-0030/06; G01N-0030/60","Method for detecting residual quantity of MOPS"
"BROAD INSTITUTE INC","CN101228176A","","","C12N-0015/63","Engineering and optimization of improved system, method, and enzyme composition for sequence manipulation"
"BROAD INSTITUTE INC","","INST PLANT PROT CAAS; THE FIRST AFFILIATED HOSPITAL OF SUN YAT-SEN UNIV","CN106047877A; CN106086008A","C12N-0009/22; C12N-0015/10; C12N-0015/63","CRISPR-CAS double cut enzyme system, method and composition for optimizing the sequence of operation"
"Institute of Plant Protection (IPP) Chinese Academy of Agricultural Science (CAAS),Beijing,CN","CN103898121A; CN104928292A; CN105492611A","HARVARD COLLEGE","US10077453B2; US10113163B2; US9999671B2","C12N-0015/11; C12N-0015/89","A CRISPR/cas9 system of a tabaci MED cryptic species TRP gene and application thereof"
"The First Affiliated Hospital Sun Yat-sen University,Guangzhou,Guangdong,CN","CN105492611A; WO2014204728A1","HARVARD COLLEGE","US10077453B2; US10113163B2; US9840699B2; US9999671B2","C12N-0005/10; C12N-0015/113; C12N-0015/66; C12N-0015/867","sgRNA CRISPR/Cas9 slow virus system and application targeting knockout FTO gene"
"BROAD INSTITUTE INC","US20100076057A1","","","C12N-0015/63","CRISPR-CAS component system, method and composition used for sequence control and"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","For corresponding with silk division after cell disease and obstacle for delivery, and optimizing engineering system, method and composition of targeting and modeling"
"BROAD INSTITUTE INC","CN102131526A","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","Delivery, use and therapeutic applications of the CRISPR-Cas systems and compositions for targeting disorders and diseases using viral components"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63","delivery, engineering and optimization of series guidance system, methods and compositions for sequence control"
"BROAD INSTITUTE INC","","","","C12N-0015/63","CRISPR-CAS system for changing expression of gene product and method"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0009/96; C12N-0015/10; C12N-0015/11; C12N-0015/63","CRISPR-CAS system for changing expression of gene product and method"
"BROAD INSTITUTE INC","","","","C12N-0009/22; C12N-0015/10; C12N-0015/63; C40B-0040/08","for liver targeting and treatment of CRISPR-CAS system, carrier and compositions for delivery and use"
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","","","","C12N-0015/63",""
"MIT","","","","C12N-0015/63",""
"BROAD INSTITUTE INC","EP2771468B1; EP2998400A1; US14324960B1; US201314054414A; US20136182B; US20150184139A1; USPP201261717324P; USPP201261736527P; USPP201361748427P; USPP201361757972P; USPP201361758468P; USPP201361768959P; USPP201361769046P; USPP201361791409P; USPP201361802174P; USPP201361806375P; USPP201361814263P; USPP201361819803P; USPP201361835931P; USPP201361842322P; WO2011146121A1; WO2013141680A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093655A2; WO2014093661A2; WO2014093694A1; WO2014093701A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014099744A1; WO2014099750A2","BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; INSCRIPTA INC; MASSACHUSETTS INST TECHNOLOGY; MASSACHUSETTS INSTITUTE OF TECH; MEIOGENIX; NOVARTIS AG; TEH BROAD INST INC; THE BOARD INST INC; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE REGENTS OF THE UNIV OF COLORADO A BODY CORPORATE; The Regents of the University of California; UNIV OF VIENNA; UNIV ROCKEFELLER; VERTEX PHARMA","US10000772B2; US10011849B1; US10017760B2; US10077445B2; US10113167B2; US8945839B2; US9822372B2; US9840713B2; US9982278B2; US9982279B1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089465A1; WO2015089486A2; WO2016049163A2; WO2016049251A1; WO2016069591A2; WO2016086197A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016094880A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016120480A1; WO2016138488A2; WO2016182893A1; WO2016205728A1; WO2016205745A2; WO2016205764A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017147196A1; WO2017161325A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018049025A2; WO2018067991A1; WO2018083606A1","C12N-0015/63","CRISPR-CAS SYSTEMS AND METHODS FOR ALTERING EXPRESSION OF GENE PRODUCTS | CRISPR-CAS SYSTEME UND VERFAHREN ZUR VERÄNDERUNG DER EXPRESSION VON GENPRODUKTEN | SYSTÈMES CRISPR-CAS ET PROCÉDÉS POUR MODIFIER L'EXPRESSION DE PRODUITS DE GÈNE"
"BROAD INSTITUTE INC","EP13824232A1; EP2764103A2; US20100076057A1; US20110189776A1; US20110223638A1; US20130130248A1; US20140068797A1; WO2008108989A2; WO2010054108A2; WO2012164565A1; WO2013098244A1; WO2013141680A1; WO2013142578A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093479A1; WO2014093712A1; WO2014099744A1; WO2014099750A2","AGENOVIR CORP; BRIGHAM & WOMENS HOSPITAL; BRIGHAM & WOMENS HOSPITAL INC; BROAD INST INC; CARIBOU BIOSCIENCES INC; EDITAS MEDICINE INC; HARVARD COLLEGE; IUCF HYU (Industry University Cooperation Foundation Hanyang University); IUCF-HYU (INDUSTRY-UNIVERSITY COOPERATION FOUNDATION HANYANG UNIVERSITY); KOVARIK KATHERINE ROSE; MASSACHUSETTS INST TECHNOLOGY; MASSACHUSETTS INSTITUTE OF TECH; NOVARTIS AG; PIONEER HI-BRED INT INC; SANGAMO THERAPEUTICS INC; SYNTHEGO CORP; TEH BROAD INST INC; THE BOARD INST INC; THE BOARD OF TRUSTEE OF THE LELAND STANFORD JUNIOR UNIV; THE BRIGHAM AND WOMEN'S HOSPITAL INC; THE CHILDREN'S MEDICAL CENTER CORP; The Regents of the University of California; UNIV LELAND STANFORD JUNIOR; UNIV MINNESOTA; UNIV OF VIENNA; UNIV ROCKEFELLER; US HEALTH; VERTEX PHARMA; VILMORIN & CIE; ZYMERGEN INC","EP3009511A2; KR1868601B1; KR1896243B1; US10000772B2; US10023853B1; US10040048B1; US10047358B1; US10066241B2; US10077445B2; US10100333B2; US10113167B2; US10117911B2; US10125354B1; US10125361B2; US10138472B2; US20150291966A1; US9260752B1; US9410198B2; US9487802B2; US9580701B2; US9580727B1; US9650617B2; US9677090B2; US9688972B2; US9725714B2; US9730967B2; US9745562B2; US9745600B2; US9771600B2; US9771601B2; US9803194B2; US9809814B1; US9816081B1; US9816093B1; US9822370B2; US9822372B2; US9840713B2; US9856497B2; US9868962B2; US9877988B2; US9888673B2; US9909122B2; US9938521B2; US9956247B2; US9957490B1; US9970026B2; US9970027B2; US9970029B1; US9970030B2; WO2016049163A2; WO2016049251A1; WO2016069591A2; WO2016086197A1; WO2016094867A1; WO2016094872A1; WO2016094874A1; WO2016100974A1; WO2016106236A1; WO2016106244A1; WO2016108926A1; WO2016138488A2; WO2016182893A1; WO2016193945A2; WO2016205613A1; WO2016205711A1; WO2016205728A1; WO2016205745A2; WO2016205749A1; WO2016205764A1; WO2017059241A1; WO2017069958A2; WO2017070605A1; WO2017074788A1; WO2017075294A1; WO2017075451A1; WO2017075465A1; WO2017075478A2; WO2017087708A1; WO2017147196A1; WO2017184786A1; WO2017219027A1; WO2018013840A1; WO2018035250A1; WO2018035364A1; WO2018049025A2; WO2018067991A1; WO2018219941A1; WO2018220136A1","A61K-0038/43; A61K-0038/46; A61K-0038/47; C07H-0021/02; C07H-0021/04; C12N-0009/14; C12N-0009/22; C12N-0009/52; C12N-0009/96; C12N-0015/00; C12N-0015/10; C12N-0015/63; C12N-0015/85; C12N-0015/90; C12Q-0001/68","CRISPR-Cas systems and methods for altering expression of gene products"
"BROAD INSTITUTE INC","EP2591770A2; EP2764103A2; EP2771468A1; EP2784162A1; US20030186238A1; US20040111221A1; US20060234247A1; US20070016012A1; US20100055798A1; US20100076057A1; US20110016540A1; US20110189776A1; US20110223638A1; US20110239315A1; US20120029891A1; US20130130248A1; US20140068797A1; US20150322457A1; US20160017366A1; US8945839B2; WO2008108989A2; WO2010054108A2; WO2011146121A1; WO2012164565A1; WO2013082519A2; WO2013098244A1; WO2013130824A1; WO2013141680A1; WO2013142578A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093479A1; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093661A2; WO2014093694A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014099744A1; WO2014099750A2; WO2014204724A1; WO2014204725A1; WO2014204729A1; WO2015089419A2","The Regents of the University of California; UNIV OF VIENNA; ZYMERGEN INC","US10047358B1; US10077445B2; US10113167B2","C12N-0001/20; C12N-0009/22; C12N-0015/00; C12N-0015/10; C12N-0015/113; C12N-0015/63; C12N-0015/70; C12N-0015/74; C12N-0015/85; C12N-0015/90; C12P-0021/04; C12Q-0001/02; C12Q-0001/68","CRISPR-Cas component systems, methods and compositions for sequence manipulation"
"BROAD INSTITUTE INC","CN101228176A; EP2591770A2; EP2764103A2; EP2771468A1; EP2784162A1; US20030186238A1; US20040111221A1; US20060234247A1; US20070016012A1; US20100055798A1; US20100076057A1; US20110016540A1; US20110189776A1; US20110223638A1; US20110239315A1; US20120029891A1; US20130130248A1; US20140068797A1; US20150322457A1; US20160017366A1; US8945839B2; WO2008108989A2; WO2010054108A2; WO2011146121A1; WO2012164565A1; WO2013082519A2; WO2013098244A1; WO2013130824A1; WO2013141680A1; WO2013142578A1; WO2013176772A1; WO2014065596A1; WO2014089290A1; WO2014093479A1; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093661A2; WO2014093694A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014099744A1; WO2014099750A2; WO2014204724A1; WO2014204725A1; WO2014204729A1; WO2015089419A2","MONSANTO TECHNOLOGY LLC; PIONEER HI-BRED INT INC; The Regents of the University of California; UNIV OF VIENNA; ZYMERGEN INC","US10047358B1; US10077445B2; US10113167B2; US20170166912A1; US20170183677A1","A01H-0003/00; C12N-0009/14; C12N-0009/22; C12N-0015/09; C12N-0015/10; C12N-0015/113; C12N-0015/52; C12N-0015/63; C12N-0015/70; C12N-0015/74; C12N-0015/79; C12N-0015/82; C12N-0015/85; C12N-0015/90","CRISPR-Cas component systems, methods and compositions for sequence manipulation"
"BROAD INSTITUTE INC","EP2047910A2; EP2264182A1; EP2764103A2; EP2771468A1; EP2784162A1; US20050172476A1; US20070195127A1; US20080003142A1; US20080014589A1; US20100002241A1; US20100022414A1; US20100137163A1; US20100172803A1; US20120122714A1; US20120219947A1; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140248702A1; US20140256046A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140287938A1; US20140310830A1; US4683195A; US4683202A; US5446603A; US5545531A; US5807522A; US5837832A; US5874219A; US5989431A; US6114122A; US6238910B1; US6365418B1; US6410229B1; US6420114B1; US6432696B2; US6475808B1; US6489159B1; US6548256B2; US7041481B2; US7708949B2; US8557746B2; US8697359B1; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8932814B2; US8945839B2; USPP201261703884P; USPP201462048227P; USRE41780E1; WO2001045843A2; WO2004002627A2; WO2007089541A2; WO2012048265A2; WO2014018423A2; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093655A2; WO2014093661A2; WO2014093694A1; WO2014093701A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014134351A2; WO2014145631A1; WO2014204723A1; WO2014204724A1; WO2014204725A1; WO2014204726A1; WO2014204727A1; WO2014204728A1; WO2014204729A1; WO2015130968A2","BRIGHAM & WOMENS HOSPITAL INC","WO2018067991A1","C12Q-0001/68","T CELL BALANCE GENE EXPRESSION, COMPOSITIONS OF MATTERS AND METHODS OF USE THEREOF | EXPRESSION GÉNIQUE INFLUANT SUR L'ÉQUILIBRE ENTRE LYMPHOCYTES T, COMPOSITIONS DE MATIÈRES ET LEURS PROCÉDÉS D'UTILISATION"
"BROAD INSTITUTE INC","EP1519714A1; EP1664316A1; EP1766035A1; EP1781593A2; EP264166A1; EP2764103A2; EP2771468A1; EP2784162A1; EP3009511A2; US20030087817A1; US20040013648A1; US20040142476A1; US20040171156A1; US20050019923A1; US20060281180A1; US20070025970A1; US20070054961A1; US20080267903A1; US20090007284A1; US20090017543A1; US20090100536A1; US20090111106A1; US20100317109A1; US20110059502A1; US20110117189A1; US20110195123A1; US20110265198A1; US20110293571A1; US20110293703A1; US201113092085A; US20120017290A1; US20120251560A1; US20120251618A1; US20120295960A1; US20130185823A1; US20130236946A1; US20130244279A1; US20130245107A1; US20130252281A1; US20130302401A1; US201314054414A; US20140170753A1; US20140179006A1; US20140179770A1; US20140186843A1; US20140186919A1; US20140186958A1; US20140189896A1; US20140227787A1; US20140234972A1; US20140242664A1; US20140242699A1; US20140242700A1; US20140248702A1; US20140256046A1; US20140273231A1; US20140273232A1; US20140273234A1; US20140287938A1; US20140310830A1; US20140335620A1; US20140357530A1; US2014062558W; US20150184139A1; US2015045504W; US2015051691W; US2015051830W; US4186183A; US4217344A; US4235871A; US4261975A; US4485054A; US4501728A; US4774085A; US4797368A; US4837028A; US4873316A; US4897355A; US49102604A; US4946787A; US5049386A; US51194009A; US5173414A; US5210015A; US5445934A; US5543158A; US5563055A; US5580859A; US5589466A; US5593972A; US5789156A; US5814618A; US5846946A; US5855913A; US5985309A; US6007845A; US6603061B1; US6750059B1; US7259015B2; US7303910B2; US7351585B2; US7745651B2; US7776321B2; US7799565B2; US7803397B2; US7838658B2; US7868149B2; US7901708B2; US7915399B2; US7982027B2; US8044019B2; US8058069B2; US8101741B2; US8188263B2; US8236943B2; US8283333B2; US8372951B2; US8404658B2; US8454972B2; US8575305B2; US8614194B1; US8642295B2; US8697359B1; US8709843B2; US8771945B1; US8795965B2; US8865406B2; US8871445B2; US8889356B2; US8889418B2; US8895308B1; US8906616B2; US8932814B2; US8945839B2; US8993233B2; US8999641B2; US9405700B2; USPP201361757972P; USPP201361758468P; USPP201361768959P; USPP201361802174P; USPP201361806375P; USPP201361814263P; USPP201361819803P; USPP201361828130P; USPP201361835931P; USPP201361835936P; USPP201361835973P; USPP201361836080P; USPP201361836101P; USPP201361836123P; USPP201361836127P; USPP201361862355P; USPP201361862468P; USPP201361871301P; USPP201361915118P; USPP201361915148P; USPP201361915150P; USPP201361915153P; USPP201361915203P; USPP201361915215P; USPP201361915251P; USPP201361915260P; USPP201361915267P; USPP201361915301P; USPP201361915397P; USPP201361960777P; USPP201361961980P; USPP201461930214P; USPP201461939154P; USPP201461939228P; USPP201461939242P; USPP201461939256P; USPP201461980012P; USPP201462010329P; USPP201462010441P; USPP201462010888P; USPP201462038358P; USPP201462054490P; USPP201462054528P; USPP201462054651P; USPP201462054675P; USPP201462055454P; USPP201462055460P; USPP201462055484P; USPP201462055487P; USPP201462067886P; USPP201462069243P; USPP201462087475P; USPP201462087537P; USPP201462087546P; USPP201462091455P; USPP201462091456P; USPP201462091461P; USPP201462091462P; USPP201462094903P; USPP201462096324P; USPP201462096656P; USPP201462096697P; USPP201462096708P; USPP201462096761P; USPP201462098059P; USPP201462098158P; USPP201462098285P; USPP201562151052P; USPP201562180681P; USPP201562180692P; USPP201562180709P; USPP201562181002P; USPP201562181151P; USPP201562181659P; USPP201562181667P; USPP201562181687P; USPP201562181739P; USPP201562193507P; USPP201562201542P; USPP201562205733P; USPP201562207318P; USPP201562232067P; USPP201562237496P; USPP201562245270P; WO1991016024A1; WO1991017424A1; WO1993001294A1; WO1993024641A2; WO1996039154A1; WO1997003211A1; WO2008042156A1; WO2008064289A2; WO2010061186A2; WO2010096488A1; WO2011028929A2; WO2012135025A2; WO2014018423A2; WO2014093595A1; WO2014093622A2; WO2014093635A1; WO2014093655A2; WO2014093661A2; WO2014093694A1; WO2014093701A1; WO2014093709A1; WO2014093712A1; WO2014093718A1; WO2014204723A1; WO2014204724A1; WO2014204725A1; WO2014204726A1; WO2014204727A1; WO2014204728A1; WO2014204729A1; WO2015089351A1; WO2015089354A1; WO2015089364A1; WO2015089419A2; WO2015089427A1; WO2015089462A1; WO2015089465A1; WO2015089473A1; WO2015089486A2","BROAD INST INC; HARVARD COLLEGE; INSCRIPTA INC; THOENE JESS G; UNIV CALIFORNIA","GB2557153A; US10011849B1; US10077453B2; US10113163B2; US9982279B1; US9999671B2; WO2017218573A1; WO2017219027A1; WO2018107103A1; WO2018132409A1","C12N-0009/22; C12N-0015/10; C12N-0015/63","NOVEL CRISPR ENZYMES AND SYSTEMS | NOUVELLES ENZYMES CRISPR ET SYSTÈMES ASSOCIÉS"
