earliest_priority,application_number,inpadoc_family_members,family_country,family_date,family_consolidated
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1512535B1 20071226,EP,2007-12-26,EP1512535
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1516225A1 20050323,EP,2005-03-23,EP1516225
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1516225A4 20070110,EP,2007-01-10,EP1516225
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517793A1 20050330,EP,2005-03-30,EP1517793
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517793A4 20070718,EP,2007-07-18,EP1517793
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517794A1 20050330,EP,2005-03-30,EP1517794
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517794A4 20070718,EP,2007-07-18,EP1517794
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517795A1 20050330,EP,2005-03-30,EP1517795
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1517795A4 20070718,EP,2007-07-18,EP1517795
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1637330A1 20060322,EP,2006-03-22,EP1637330
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1637330B1 20070418,EP,2007-04-18,EP1637330
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1640162A1 20060329,EP,2006-03-29,EP1640162
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1640162B1 20070328,EP,2007-03-28,EP1640162
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1647402A1 20060419,EP,2006-04-19,EP1647402
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1647402B1 20080702,EP,2008-07-02,EP1647402
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1650030A1 20060426,EP,2006-04-26,EP1650030
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1650030B1 20080924,EP,2008-09-24,EP1650030
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1650031A1 20060426,EP,2006-04-26,EP1650031
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1650031B1 20080220,EP,2008-02-20,EP1650031
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1652671A1 20060503,EP,2006-05-03,EP1652671
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP1652671B1 20080514,EP,2008-05-14,EP1652671
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP2145846A2 20100120,EP,2010-01-20,EP2145846
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP2145846A3 20110112,EP,2011-01-12,EP2145846
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP2145846B1 20120829,EP,2012-08-29,EP2145846
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP997033A1 20000503,EP,2000-05-03,EP997033
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP997033A4 20040324,EP,2004-03-24,EP997033
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP997033B1 20070905,EP,2007-09-05,EP997033
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999933A1 20000517,EP,2000-05-17,EP999933
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999933A4 20001220,EP,2000-12-20,EP999933
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999933B1 20050302,EP,2005-03-02,EP999933
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999934A1 20000517,EP,2000-05-17,EP999934
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999934A4 20010627,EP,2001-06-27,EP999934
AU19977991A 1997-07-15,JP200944799A 2009-02-26,EP999934B1 20051026,EP,2005-10-26,EP999934
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL153526D0 20030706,IL,2003-07-06,IL153526
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160172D0 20040725,IL,2004-07-25,IL160172
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160173D0 20040725,IL,2004-07-25,IL160173
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160174D0 20040725,IL,2004-07-25,IL160174
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160175D0 20040725,IL,2004-07-25,IL160175
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160176D0 20040725,IL,2004-07-25,IL160176
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160256D0 20040725,IL,2004-07-25,IL160256
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160257D0 20040725,IL,2004-07-25,IL160257
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160258D0 20040725,IL,2004-07-25,IL160258
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160259D0 20040725,IL,2004-07-25,IL160259
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160263D0 20040725,IL,2004-07-25,IL160263
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160622D0 20040725,IL,2004-07-25,IL160622
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL160636D0 20040725,IL,2004-07-25,IL160636
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL161088D0 20040831,IL,2004-08-31,IL161088
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164410D0 20051218,IL,2005-12-18,IL164410
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164445D0 20051218,IL,2005-12-18,IL164445
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164446D0 20051218,IL,2005-12-18,IL164446
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164447D0 20051218,IL,2005-12-18,IL164447
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164448D0 20051218,IL,2005-12-18,IL164448
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164503D0 20051218,IL,2005-12-18,IL164503
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164504D0 20051218,IL,2005-12-18,IL164504
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164782D0 20051218,IL,2005-12-18,IL164782
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164833D0 20051218,IL,2005-12-18,IL164833
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164924D0 20051218,IL,2005-12-18,IL164924
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164930D0 20051218,IL,2005-12-18,IL164930
AU19977991A 1997-07-15,JP200944799A 2009-02-26,IL164931D0 20051218,IL,2005-12-18,IL164931
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04037365B2 20080123,JP,2008-01-23,JP04037365
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04137964B2 20080820,JP,2008-08-20,JP04137964
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04137965B2 20080820,JP,2008-08-20,JP04137965
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04160250B2 20081001,JP,2008-10-01,JP04160250
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04170582B2 20081022,JP,2008-10-22,JP04170582
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04171037B2 20081022,JP,2008-10-22,JP04171037
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04173174B2 20081029,JP,2008-10-29,JP04173174
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04185538B2 20081126,JP,2008-11-26,JP04185538
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04209333B2 20090114,JP,2009-01-14,JP04209333
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04216188B2 20090128,JP,2009-01-28,JP04216188
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04309954B2 20090805,JP,2009-08-05,JP04309954
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04309955B2 20090805,JP,2009-08-05,JP04309955
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04405145B2 20100127,JP,2010-01-27,JP04405145
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04447163B2 20100407,JP,2010-04-07,JP04447163
AU19977991A 1997-07-15,JP200944799A 2009-02-26,JP04685174B2 20110518,JP,2011-05-18,JP04685174
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR571865B1 20060417,KR,2006-04-17,KR571865
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR574290B1 20060426,KR,2006-04-26,KR574290
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR601836B1 20060719,KR,2006-07-19,KR601836
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR611618B1 20060810,KR,2006-08-10,KR611618
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR617348B1 20060828,KR,2006-08-28,KR617348
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR628361B1 20060927,KR,2006-09-27,KR628361
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR629216B1 20060927,KR,2006-09-27,KR629216
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR643659B1 20061110,KR,2006-11-10,KR643659
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR654180B1 20061205,KR,2006-12-05,KR654180
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR667015B1 20070111,KR,2007-01-11,KR667015
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR707844B1 20070413,KR,2007-04-13,KR707844
AU19977991A 1997-07-15,JP200944799A 2009-02-26,KR738367B1 20070712,KR,2007-07-12,KR738367
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109966A1 20050428,SG,2005-04-28,SG109966
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109967A1 20050428,SG,2005-04-28,SG109967
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109968A1 20050428,SG,2005-04-28,SG109968
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109969A1 20050428,SG,2005-04-28,SG109969
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109972A1 20050428,SG,2005-04-28,SG109972
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG109973A1 20050428,SG,2005-04-28,SG109973
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG112833A1 20050728,SG,2005-07-28,SG112833
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG112834A1 20050728,SG,2005-07-28,SG112834
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG112835A1 20050728,SG,2005-07-28,SG112835
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG112836A1 20050728,SG,2005-07-28,SG112836
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG113416A1 20050829,SG,2005-08-29,SG113416
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG114539A1 20050928,SG,2005-09-28,SG114539
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG114540A1 20050928,SG,2005-09-28,SG114540
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG114543A1 20050928,SG,2005-09-28,SG114543
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG114544A1 20050928,SG,2005-09-28,SG114544
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG114545A1 20050928,SG,2005-09-28,SG114545
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG115466A1 20051028,SG,2005-10-28,SG115466
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG115467A1 20051028,SG,2005-10-28,SG115467
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG115468A1 20051028,SG,2005-10-28,SG115468
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG115472A1 20051028,SG,2005-10-28,SG115472
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG116449A1 20051128,SG,2005-11-28,SG116449
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120061A1 20060228,SG,2006-02-28,SG120061
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120062A1 20060328,SG,2006-03-28,SG120062
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120063A1 20060328,SG,2006-03-28,SG120063
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120064A1 20060328,SG,2006-03-28,SG120064
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120866A1 20060426,SG,2006-04-26,SG120866
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG120867A1 20060426,SG,2006-04-26,SG120867
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG121714A1 20060526,SG,2006-05-26,SG121714
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG125897A1 20061030,SG,2006-10-30,SG125897
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG125898A1 20061030,SG,2006-10-30,SG125898
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG126696A1 20061129,SG,2006-11-29,SG126696
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG126698A1 20061129,SG,2006-11-29,SG126698
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG126699A1 20061129,SG,2006-11-29,SG126699
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG127677A1 20061229,SG,2006-12-29,SG127677
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG127678A1 20061229,SG,2006-12-29,SG127678
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG127679A1 20061229,SG,2006-12-29,SG127679
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG127734A1 20061229,SG,2006-12-29,SG127734
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG128427A1 20070130,SG,2007-01-30,SG128427
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG129221A1 20070226,SG,2007-02-26,SG129221
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG129999A1 20070320,SG,2007-03-20,SG129999
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG130932A1 20070426,SG,2007-04-26,SG130932
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG131740A1 20070528,SG,2007-05-28,SG131740
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG131741A1 20070528,SG,2007-05-28,SG131741
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG135910A1 20071029,SG,2007-10-29,SG135910
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG135911A1 20071029,SG,2007-10-29,SG135911
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG136792A1 20071129,SG,2007-11-29,SG136792
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG138434A1 20080128,SG,2008-01-28,SG138434
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG142113A1 20080528,SG,2008-05-28,SG142113
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG146452A1 20081030,SG,2008-10-30,SG146452
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG152913A1 20090629,SG,2009-06-29,SG152913
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG155047A1 20090930,SG,2009-09-30,SG155047
AU19977991A 1997-07-15,JP200944799A 2009-02-26,SG165990A1 20101129,SG,2010-11-29,SG165990
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999003680A1 19990128,WO,1999-01-28,WO1999003680
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999003681A1 19990128,WO,1999-01-28,WO1999003681
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999004368A1 19990128,WO,1999-01-28,WO1999004368
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999004551A1 19990128,WO,1999-01-28,WO1999004551
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999022430A1 19990506,WO,1999-05-06,WO1999022430
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO1999051289A1 19991014,WO,1999-10-14,WO1999051289
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2000023279A1 20000427,WO,2000-04-27,WO2000023279
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2001061917A1 20010823,WO,2001-08-23,WO2001061917
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2002002333A1 20020110,WO,2002-01-10,WO2002002333
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003006246A1 20030123,WO,2003-01-23,WO2003006246
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013858A1 20030220,WO,2003-02-20,WO2003013858
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013860A1 20030220,WO,2003-02-20,WO2003013860
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013860A8 20041209,WO,2004-12-09,WO2003013860
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013861A1 20030220,WO,2003-02-20,WO2003013861
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013862A1 20030220,WO,2003-02-20,WO2003013862
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013863A1 20030220,WO,2003-02-20,WO2003013863
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013864A1 20030220,WO,2003-02-20,WO2003013864
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013865A1 20030220,WO,2003-02-20,WO2003013865
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013866A1 20030220,WO,2003-02-20,WO2003013866
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013869A2 20030220,WO,2003-02-20,WO2003013869
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003013869A3 20030522,WO,2003-05-22,WO2003013869
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003015395A1 20030220,WO,2003-02-20,WO2003015395
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003018314A1 20030306,WO,2003-03-06,WO2003018314
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003018315A1 20030306,WO,2003-03-06,WO2003018315
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003029009A1 20030410,WO,2003-04-10,WO2003029009
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003029012A1 20030410,WO,2003-04-10,WO2003029012
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003047868A1 20030612,WO,2003-06-12,WO2003047868
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003067564A1 20030814,WO,2003-08-14,WO2003067564
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086762A1 20031023,WO,2003-10-23,WO2003086762
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086763A1 20031023,WO,2003-10-23,WO2003086763
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086764A1 20031023,WO,2003-10-23,WO2003086764
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086766A1 20031023,WO,2003-10-23,WO2003086766
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086767A1 20031023,WO,2003-10-23,WO2003086767
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086769A1 20031023,WO,2003-10-23,WO2003086769
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003086770A1 20031023,WO,2003-10-23,WO2003086770
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2003091029A1 20031106,WO,2003-11-06,WO2003091029
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2004001501A1 20031231,WO,2003-12-31,WO2004001501
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2004002743A1 20040108,WO,2004-01-08,WO2004002743
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2004002744A1 20040108,WO,2004-01-08,WO2004002744
AU19977991A 1997-07-15,JP200944799A 2009-02-26,WO2004002745A1 20040108,WO,2004-01-08,WO2004002745
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6041600A 20000328,US,2000-03-28,US6041600
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6044646A 20000404,US,2000-04-04,US6044646
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6067797A 20000530,US,2000-05-30,US6067797
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6071750A 20000606,US,2000-06-06,US6071750
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6087638A 20000711,US,2000-07-11,US6087638
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6106147A 20000822,US,2000-08-22,US6106147
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6110754A 20000829,US,2000-08-29,US6110754
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6137500A 20001024,US,2000-10-24,US6137500
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6152619A 20001128,US,2000-11-28,US6152619
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6171875B1 20010109,US,2001-01-09,US6171875
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6180427B1 20010130,US,2001-01-30,US6180427
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6188415B1 20010213,US,2001-02-13,US6188415
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6190931B1 20010220,US,2001-02-20,US6190931
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6195150B1 20010227,US,2001-02-27,US6195150
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6196541B1 20010306,US,2001-03-06,US6196541
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6196739B1 20010306,US,2001-03-06,US6196739
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6209989B1 20010403,US,2001-04-03,US6209989
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6213588B1 20010410,US,2001-04-10,US6213588
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6213589B1 20010410,US,2001-04-10,US6213589
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6214244B1 20010410,US,2001-04-10,US6214244
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6217153B1 20010417,US,2001-04-17,US6217153
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6217165B1 20010417,US,2001-04-17,US6217165
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6220694B1 20010424,US,2001-04-24,US6220694
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6224780B1 20010501,US,2001-05-01,US6224780
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6225138B1 20010501,US,2001-05-01,US6225138
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6227648B1 20010508,US,2001-05-08,US6227648
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6227652B1 20010508,US,2001-05-08,US6227652
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6227653B1 20010508,US,2001-05-08,US6227653
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6227654B1 20010508,US,2001-05-08,US6227654
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6228668B1 20010508,US,2001-05-08,US6228668
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6231148B1 20010515,US,2001-05-15,US6231148
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6231163B1 20010515,US,2001-05-15,US6231163
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6231772B1 20010515,US,2001-05-15,US6231772
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6231773B1 20010515,US,2001-05-15,US6231773
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6234609B1 20010522,US,2001-05-22,US6234609
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6234610B1 20010522,US,2001-05-22,US6234610
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6234611B1 20010522,US,2001-05-22,US6234611
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6235211B1 20010522,US,2001-05-22,US6235211
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6235212B1 20010522,US,2001-05-22,US6235212
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6238033B1 20010529,US,2001-05-29,US6238033
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6238040B1 20010529,US,2001-05-29,US6238040
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6238044B1 20010529,US,2001-05-29,US6238044
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6238111B1 20010529,US,2001-05-29,US6238111
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6239821B1 20010529,US,2001-05-29,US6239821
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6241342B1 20010605,US,2001-06-05,US6241342
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6241904B1 20010605,US,2001-06-05,US6241904
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6241905B1 20010605,US,2001-06-05,US6241905
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6241906B1 20010605,US,2001-06-05,US6241906
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6243113B1 20010605,US,2001-06-05,US6243113
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6244691B1 20010612,US,2001-06-12,US6244691
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6245246B1 20010612,US,2001-06-12,US6245246
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6245247B1 20010612,US,2001-06-12,US6245247
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247790B1 20010619,US,2001-06-19,US6247790
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247791B1 20010619,US,2001-06-19,US6247791
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247792B1 20010619,US,2001-06-19,US6247792
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247793B1 20010619,US,2001-06-19,US6247793
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247794B1 20010619,US,2001-06-19,US6247794
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247795B1 20010619,US,2001-06-19,US6247795
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6247796B1 20010619,US,2001-06-19,US6247796
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6248248B1 20010619,US,2001-06-19,US6248248
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6248249B1 20010619,US,2001-06-19,US6248249
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6251298B1 20010626,US,2001-06-26,US6251298
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6254220B1 20010703,US,2001-07-03,US6254220
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6254793B1 20010703,US,2001-07-03,US6254793
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6257704B1 20010710,US,2001-07-10,US6257704
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6257705B1 20010710,US,2001-07-10,US6257705
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6258284B1 20010710,US,2001-07-10,US6258284
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6258285B1 20010710,US,2001-07-10,US6258285
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6260953B1 20010717,US,2001-07-17,US6260953
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6264306B1 20010724,US,2001-07-24,US6264306
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6264307B1 20010724,US,2001-07-24,US6264307
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6264849B1 20010724,US,2001-07-24,US6264849
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6264850B1 20010724,US,2001-07-24,US6264850
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6267469B1 20010731,US,2001-07-31,US6267469
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6267904B1 20010731,US,2001-07-31,US6267904
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6267905B1 20010731,US,2001-07-31,US6267905
AU19977991A 1997-07-15,JP200944799A 2009-02-26,US6270182B1 20010807,US,2001-08-07,US6270182
