Publication Number, citing_applicant_first
"US20150259684A1","HARVARD COLLEGE"
"US9834791B2","EDITAS MEDICINE INC"
"US9850521B2","AGILENT TECHNOLOGIES INC"
"US20160122774A1","CELLECTIS"
"US20160222416A1","HARVARD COLLEGE"
"US20140356956A1","HARVARD COLLEGE"
"US20140342457A1","HARVARD COLLEGE"
"WO2016025469A1","UNIVERSITY OF TEXAS"
"US20150024500A1","Larix Bioscience LLC"
"US20160160210A1","HARVARD COLLEGE"
"WO2016057850A1","SEATTLE CHILDREN' S HOSPITAL"
"WO2016061523A1","HOWARD HUGHES MEDICAL INSTITUTE"
"WO2016057755A1","ANTHROGENESIS CORPORATION"
"GB2543873A","Agenovir Corporation"
"WO2016197358A1","SHENZHEN SECOND PEOPLE'S HOSPITAL"
"WO2016197356A1","SHENZHEN SECOND PEOPLE'S HOSPITAL"
"CN105002198B","BEIJING PROTEOME RES CT"
"US9737604B2","HARVARD COLLEGE"
"US10077453B2","HARVARD COLLEGE"
"US10066241B2","STANFORD UNIVERSITY"
"US9388430B2","HARVARD COLLEGE"
"US9359599B2","HARVARD COLLEGE"
"US10113163B2","HARVARD COLLEGE"
"US10117911B2","Agenovir Corporation"
"US9228207B2","HARVARD COLLEGE"
"CN105002198A","BEIJING PROTEOME RES CT"
"WO2017201476A1","Regeneron Pharmaceuticals Inc"
"US9322006B2","HARVARD COLLEGE"
"US9340800B2","HARVARD COLLEGE"
"US9340799B2","HARVARD COLLEGE"
"US9322037B2","HARVARD COLLEGE"
"US9999671B2","HARVARD COLLEGE"
"US9487802B2","STANFORD UNIVERSITY"
"WO2017069829A3","COLUMBIA UNIVERSITY"
"US9526784B2","HARVARD COLLEGE"
"WO2016057821A3","HARVARD COLLEGE"
"WO2017031360A1","ARC BIO LLC"
"TWI571763B","INST INFORMATION IND"
"US9840699B2","HARVARD COLLEGE"
"WO2016021973A1","TOOLGEN INC"
"WO2016205749A1","BROAD INSTITUTE INC"
"WO2017106657A1","BROAD INSTITUTE INC"
"CN104546931A","Shenzhen BGI technology Co. Ltd."
"US10041079B2","SYNTHETIC GENOMICS INC"
"WO2016164356A1","STANFORD UNIVERSITY"
"WO2017161068A1","HARVARD COLLEGE"
"WO2017189308A1","BROAD INSTITUTE INC"
"WO2017184786A1","BROAD INSTITUTE INC"
"WO2017184768A1","BROAD INSTITUTE INC"
"WO2017095960A1","SYNTHETIC GENOMICS INC"
"EP3204032A4","MASSACHUSETTS EYE & EAR INFIRMARY"
"US20160208271A1","DU PONT"
"US20160201072A1","PIONEER HI-BRED INTERNATIONAL INC"
"US20160348074A1","Agenovir Corporation"
"WO2016070129A1","HARVARD COLLEGE"
"KR1817482B1","TOOLGEN INC"
"CN104152414A","Guangzhou Institute of Biomedicine And Health Chinese Academy of Science"
"WO2016028843A3","HARVARD COLLEGE"
"WO2016022931A1","UNIV ROCKEFELLER"
"WO2015035136A2","HARVARD COLLEGE"
"WO2017132239A1","PIONEER HI-BRED INTERNATIONAL INC"
"US9616114B1","Bermudes David Gordon"
"WO2016073433A1","DU PONT"
"WO2016186953A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2016186946A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2016168594A1","HARVARD COLLEGE"
"WO2017155717A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017155715A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017155714A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2018183878A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017100158A1","DANISCO US INC"
"WO2018071362A1","PIONEER HI-BRED INTERNATIONAL INC"
"US20160208272A1","DU PONT"
"WO2017066175A1","DU PONT"
"WO2017070032A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2017106569A1","UNIV CALIFORNIA"
"WO2015139139A1","UNIV LAVAL"
"WO2016036754A1","UNIV CALIFORNIA"
"WO2016057835A3","HARVARD COLLEGE"
"WO2016077123A1","MODERNA THERAPEUTICS INC."
"WO2016089866A1","HARVARD COLLEGE"
"US20150050699A1","UNIV VILNIUS"
"WO2017007825A1","RXI PHARMACEUTICALS CORPORATION"
"US20130297023A1","Sampen Hee-Jeong Im"
"CN104673816A","Guangdong Medical University"
"EP3212770A4","MASSACHUSETTS EYE & EAR INFIRMARY"
"EP3212221A4","MASSACHUSETTS EYE & EAR INFIRMARY"
"US20150140664A1","HARVARD COLLEGE"
"EP3204050A4","UNIV CALIFORNIA"
"US20140342456A1","HARVARD COLLEGE"
"US20140342458A1","HARVARD COLLEGE"
"WO2016057800A1","UNIV CALIFORNIA"
"US10100291B2","HARVARD COLLEGE"
"US9074199B1","HARVARD COLLEGE"
"WO2015077318A1","HARVARD COLLEGE"
"WO2015054507A1","PRONUTRIA INC."
"WO2016089433A1","AGILENT TECHNOLOGIES INC"
"WO2016100951A3","INTEGRATED DNA TECHNOLOGIES INC"
"WO2017136794A1","MIT"
"WO2017214460A1","AGILENT TECHNOLOGIES INC"
"WO2017165859A1","RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL"
"WO2017004279A3","MIT"
"US9840702B2","INTEGRATED DNA TECHNOLOGIES INC"
"WO2016080795A1","INSTITUTE FOR BASIC SCIENCE"
"US10106820B2","Regeneron Pharmaceuticals Inc"
"US9902971B2","Regeneron Pharmaceuticals Inc"
"CN105543195A","China National Rice Research Institute"
"CN105543196A","China National Rice Research Institute"
"WO2016095934A3","EL ABD Hisham Mohamed Magdy"
"WO2016090385A1","APPLIED STEMCELL INC."
"US10040048B1","SYNTHEGO CORPORATION"
"CN104711257A","LU Feng-min"
"US9925248B2","TEMPLE UNIVERSITY"
"WO2018102665A1","Sangamo Therapeutics Inc"
"WO2018098671A1","China Agricultural University"
"WO2018005873A1","BROAD INSTITUTE INC"
"US20160076020A1","CARIBOU BIOSCIENCES INC"
"CN104711257B","LU Feng-min"
"WO2016123578A1","UNIV CALIFORNIA"
"WO2016112351A1","BIO RAD LABORATORIES"
"WO2016123071A1","COLD SPRING HARBOR LABORATORY"
"WO2016109255A1","UNIVERSITY OF SOUTH FLORIDA"
"US9981020B2","TEMPLE UNIVERSITY"
"US20150291969A1","Chromatin Inc."
"US20140315985A1","CARIBOU BIOSCIENCES INC"
"WO2016161260A1","Agenovir Corporation"
"WO2017142835A1","TEMPLE UNIVERSITY"
"WO2016210416A3","COLUMBIA UNIVERSITY"
"WO2017023803A1","UNIVERSITY OF MINNESOTA"
"WO2015168108A3","RXI PHARMACEUTICALS CORPORATION"
"WO2017062754A1","NEW YORK UNIVERSITY"
"GB2557123A","UNIVERSITY OF MINNESOTA"
"WO2017184903A1","CENTRO DE INVESTIGACIONES ENERGETICAS MEDIOAMBIENTALES Y TECNOLOGICAS"
"WO2017083368A1","PFIZER INC."
"US9888673B2","UNIVERSITY OF MINNESOTA"
"WO2015177668A1","PFIZER INC."
"WO2016191684A1","FINER Mitchell H."
"WO2016187904A1","SHENZHEN SECOND PEOPLE'S HOSPITAL"
"EP3009511B1","BROAD INSTITUTE INC"
"WO2018005589A1","CELLECTIS"
"WO2018140966A1","10X GENOMICS INC"
"WO2017218852A1","UNIVERSITY OF MASSACHUSETTS"
"WO2018126087A1","APPLIED STEMCELL INC."
"WO2018071572A1","STEMGENICS INC."
"WO2018049009A3","Sangamo Therapeutics Inc"
"US10150117B2","10X GENOMICS INC"
"US10111913B2","Kovarik Joseph E."
"US10086024B2","Kovarik Joseph E."
"US10086018B2","Kovarik Joseph E."
"US10085938B2","Kovarik Joseph E."
"US10010568B2","Kovarik Katherine Rose"
"US9987224B2","Kovarik Joseph E."
"WO2018140644A1","MUSC FOUNDATION FOR RESEARCH DEVELOPMENT"
"EP3406139A1","Medizinische Hochschule Hannover"
"US9944925B2","ENEVOLV INC."
"US20160251648A1","BROAD INSTITUTE INC"
"WO2016161207A1","EXELIGEN SCIENTIFIC INC."
"WO2016142427A1","INSERM"
"US20160289673A1","UNIV CALIFORNIA"
"WO2016205613A1","BROAD INSTITUTE INC"
"WO2016193945A2","NOVARTIS AG"
"WO2017124086A1","THE JACKSON LABORATORY"
"WO2017120147A1","STANFORD UNIVERSITY"
"WO2017115128A2","AVECTAS LIMITED"
"WO2017112944A1","FRED HUTCHINSON CANCER RESEARCH CENTER"
"US9637739B2","UNIV VILNIUS"
"US9616090B2","Sangamo BioSciences Inc."
"WO2016081923A2","Regeneron Pharmaceuticals Inc"
"WO2016070037A2","MIT"
"US9757420B2","Sangamo Therapeutics Inc"
"US9745562B2","CARIBOU BIOSCIENCES INC"
"US9745600B2","CARIBOU BIOSCIENCES INC"
"US10066232B2","UNIVERSITY OF ARKANSAS"
"US10047358B1","Zymergen Inc"
"US10023853B1","CARIBOU BIOSCIENCES INC"
"US10030257B2","UNIVERSITY OF ARKANSAS"
"US10024846B2","US VETERANS"
"US10047355B2","MIT"
"US10035985B2","THE SECRETARY OF STATE FOR HEALTH"
"US10125354B1","CARIBOU BIOSCIENCES INC"
"US10138472B2","CARIBOU BIOSCIENCES INC"
"US10117899B2","Sangamo Therapeutics Inc"
"US10100333B2","CARIBOU BIOSCIENCES INC"
"WO2016172583A1","NOVARTIS AG"
"WO2016179038A1","SPARK THERAPEUTICS INC."
"WO2016186772A2","GENZYME CORPORATION"
"WO2016184989A1","KWS SAAT SE"
"CN106637421A","Peking University"
"US9677090B2","CARIBOU BIOSCIENCES INC"
"US9771600B2","CARIBOU BIOSCIENCES INC"
"WO2018148246A1","MIT"
"WO2018146481A1","FUJIAN AGRICULTURE AND FORESTRY UNIVERSITY"
"WO2018130828A1","PLANT BIOSCIENCE LIMITED"
"WO2017202949A1","INSERM"
"CN105296518A","China Agricultural University"
"US20170051312A1","UNIV CALIFORNIA"
"US20170044569A9","HARVARD COLLEGE"
"WO2018172785A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2018172570A1","INSERM"
"WO2018172508A1","INSERM"
"WO2018167119A1","INSERM"
"WO2018178237A1","INSERM"
"EP3346001A1","TXCell"
"US9957526B2","Sangamo Therapeutics Inc"
"US9957501B2","Sangamo Therapeutics Inc"
"US9957490B1","CARIBOU BIOSCIENCES INC"
"US9956247B2","Sangamo Therapeutics Inc"
"KR1833433B1","KOREA RESEARCH INSTITUTE OF BIOSCIENCE AND BIOTECHNOLOGY"
"US9580727B1","CARIBOU BIOSCIENCES INC"
"US9994831B2","UNIV CALIFORNIA"
"US9902974B2","Sangamo Therapeutics Inc"
"US9907863B2","UNIV JOHNS HOPKINS"
"WO2018115973A2","AVECTAS LIMITED"
"WO2018100190A1","INSERM"
"WO2018098365A2","TCR2 THERAPEUTICS INC."
"US9267135B2","HARVARD COLLEGE"
"WO2017192544A1","MIT"
"WO2017189683A1","MIT"
"WO2017181119A2","NOVARTIS AG"
"WO2017180989A2","MEMORIAL SLOAN KETTERING CANCER CENTER"
"US9023649B2","HARVARD COLLEGE"
"WO2015142675A2","NOVARTIS AG"
"WO2015157252A1","BROGDON Jennifer"
"DE102015014252A1","KWS SAAT SE"
"DE102015006335A1","KWS SAAT SE"
"WO2014186686A3","TWO BLADES FOUNDATION"
"WO2018026953A1","TCR2 THERAPEUTICS INC."
"WO2018023014A1","Regeneron Pharmaceuticals Inc"
"WO2018013918A2","NOVARTIS AG"
"US20160046949A1","CARIBOU BIOSCIENCES INC"
"US9163284B2","HARVARD COLLEGE"
"US9567609B2","Sangamo BioSciences Inc."
"US9574211B2","Sangamo BioSciences Inc."
"US9655351B2","Regeneron Pharmaceuticals Inc"
"US20150133315A1","MIT"
"US20150167000A1","UNIVERSITY OF MINNESOTA"
"US9528124B2","Recombinetics Inc."
"US9068179B1","HARVARD COLLEGE"
"US20160377598A1","Kishore Bellamkonda K."
"EP2800811A1","UNIV CALIFORNIA"
"US20150082478A1","DU PONT"
"US20150059010A1","PIONEER HI-BRED INTERNATIONAL INC"
"US20150044191A1","HARVARD COLLEGE"
"US20150071902A1","HARVARD COLLEGE"
"US20150067898A1","Recombinetics Inc."
"US20150071901A1","HARVARD COLLEGE"
"US20150067922A1","The Penn State Research Foundation"
"WO2018211018A1","INSERM"
"WO2018208837A1","PRECISION BIOSCIENCES INC."
"WO2018193075A1","INSERM"
"WO2018087391A1","INSERM"
"WO2018081531A2","ARIAD PHARMACEUTICALS INC."
"WO2018069232A1","INSERM"
"WO2018067697A1","PRECISION BIOSCIENCES INC."
"WO2016100272A1","DANISCO US INC"
"WO2016100568A1","DANISCO US INC"
"WO2016124918A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2016098078A2","NOVARTIS AG"
"WO2016100857A1","Regeneron Pharmaceuticals Inc"
"WO2016112963A1","RIBOXX GMBH"
"WO2016100571A1","DANISCO US INC"
"WO2016100562A1","DANISCO US INC"
"WO2016124920A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2017027392A1","NOVARTIS AG"
"WO2017024317A2","Dana-Farber Cancer Institute Inc."
"WO2017019867A1","DANISCO US INC"
"WO2017013409A2","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"US9877988B2","Sangamo Therapeutics Inc"
"US9873894B2","Sangamo Therapeutics Inc"
"US9885058B2","Regeneron Pharmaceuticals Inc"
"CN106191061A","Jinan University"
"US9970001B2","Sangamo Therapeutics Inc"
"US9963710B2","Syngenta Participations"
"US9970027B2","CARIBOU BIOSCIENCES INC"
"US9970026B2","CARIBOU BIOSCIENCES INC"
"US9970029B1","CARIBOU BIOSCIENCES INC"
"US9982277B2","UNIV CALIFORNIA"
"WO2018064387A1","NOVARTIS AG"
"WO2018046610A1","INSERM"
"EP3155101A4","UNIV JOHNS HOPKINS"
"WO2015188109A1","Regeneron Pharmaceuticals Inc"
"WO2015161276A3","EDITAS MEDICINE INC"
"WO2015168404A1","MIT"
"EP3095870A1","KWS SAAT SE"
"US20150291966A1","BROAD INSTITUTE INC"
"US9833479B2","Sangamo Therapeutics Inc"
"US9850525B2","AGILENT TECHNOLOGIES INC"
"US20160108470A1","CARIBOU BIOSCIENCES INC"
"US8927231B2","The Board of Trustees of the University of Arkansas"
"US20150225730A1","DNA2.0 INC."
"US20160251411A1","Regeneron Pharmaceuticals Inc"
"US20140273233A1","SIGMA-ALDRICH CO LLC"
"US20140273230A1","SIGMA-ALDRICH CO LLC"
"US20140273235A1","UNIVERSITY OF MINNESOTA"
"US20150211058A1","AGILENT TECHNOLOGIES INC"
"WO2016014565A2","NOVARTIS AG"
"WO2016025880A1","NOVARTIS AG"
"WO2016014553A1","NOVARTIS AG"
"WO2016014530A1","NOVARTIS AG"
"WO2016004010A1","UNIVERSITY OF TEXAS"
"WO2016011080A3","UNIV CALIFORNIA"
"WO2015200805A2","Regeneron Pharmaceuticals Inc"
"US20160186208A1","Whitehead Institute"
"WO2014153118A1","STANFORD UNIVERSITY"
"WO2017066561A2","HARVARD COLLEGE"
"WO2017059241A1","US HEALTH"
"CN105132427A","Animal Husbandry Academy Xinjiang Animal Husbandry Academy"
"WO2015089375A1","General Hospital Corporation"
"WO2016044605A1","BEATTY Gregory"
"WO2016061374A1","Regeneron Pharmaceuticals Inc"
"WO2016049531A1","PURECIRCLE USA INC."
"WO2014194190A1","The Penn State Research Foundation"
"US9816081B1","CARIBOU BIOSCIENCES INC"
"US9816074B2","Sangamo Therapeutics Inc"
"US9816093B1","CARIBOU BIOSCIENCES INC"
"US9822371B2","The Board of Trustees of the University of Arkansas"
"WO2017009842A2","BIOKINE THERAPEUTICS LTD."
"WO2017130205A1","HADASIT MEDICAL RESEARCH SERVICES AND DEVELOPMENT LTD."
"WO2017118985A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2017153982A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2017138008A2","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"US9957515B2","CIBUS US LLC"
"WO2018122771A1","UKKO INC."
"WO2018096547A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2018078390A1","INSTITUTE OF GENETICS AND DEVELOPMENTAL BIOLOGY CHINESE ACADEMY OF SCIENCES"
"WO2016100333A1","Syngenta Participations"
"WO2018053350A1","LABCYTE INC."
"WO2018033929A1","YEDA RESEARCH AND DEVELOPMENT CO. LTD."
"WO2016005985A2","YISSUM RESEARCH DEVELOPMENT"
"WO2015033343A1","YISSUM RESEARCH DEVELOPMENT"
"WO2018100431A1","GENOMIC VISION"
"WO2017083766A1","MIT"
"US9975817B2","Pivot Bio Inc."
"US20140364333A1","HARVARD COLLEGE"
"US20160206566A1","HARVARD COLLEGE"
"US9816080B2","HARVARD COLLEGE"
"US20160090603A1","Sandia Corporation"
"WO2017058791A1","Agenovir Corporation"
"US20150218573A1","UNIV CALIFORNIA"
"WO2016205711A1","BROAD INSTITUTE INC"
"US9730967B2","Kovarik Katherine Rose"
"KR1896243B1","IUCF HYU"
"KR1868601B1","IUCF HYU"
"EP3009511A2","BROAD INSTITUTE INC"
"US10136649B2","NORTH CAROLINA STATE UNIVERSITY"
"US10131885B2","Poseida Therapeutics Inc."
"US20160017366A1","SIGMA-ALDRICH CO LLC"
"US20150071898A1","HARVARD COLLEGE"
"US20160333377A1","SEATTLE CHILDREN' S HOSPITAL"
"US20170166912A1","MONSANTO TECHNOLOGY LLC"
"US20170183677A1","PIONEER HI-BRED INTERNATIONAL INC"
"WO2016200263A1","ERASMUS UNIVERSITY MEDICAL CENTER ROTTERDAM"
"WO2016198500A1","INSERM"
"WO2016083811A1","IMPERIAL INNOVATIONS LIMITED"
"WO2016049163A3","BROAD INSTITUTE INC"
"WO2016049024A3","BROAD INSTITUTE INC"
"EP2800811B1","UNIV CALIFORNIA"
"EP3219799A1","IMBA"
"WO2016183438A1","MIT"
"WO2017158153A1","IMBA"
"EP3188763A4","UNIV CALIFORNIA"
"EP3003392A4","HARVARD COLLEGE"
"EP3041498A4","MIT"
"WO2017165655A1","Dana-Farber Cancer Institute Inc."
"WO2015153780A1","EDITAS MEDICINE INC"
"WO2017090761A1","NATIONAL UNIVERSITY CORPORATION KOBE UNIVERSITY"
"WO2017064566A3","ASTRAZENECA AB"
"EP2931891A4","HARVARD COLLEGE"
"WO2018054911A1","BAYER CROPSCIENCE NV"
"WO2015168800A1","UNIV LAVAL"
"GB2544382B","UNIV OF COLORADO"
"GB2530831B","GREEN BIOLOGICS LTD"
"WO2017068077A1","INSERM"
"WO2015089277A1","UNIV CALIFORNIA"
"WO2016061073A1","MEMORIAL SLOAN KETTERING CANCER CENTER"
"GB2544382A","UNIV OF COLORADO"
"GB2530831A","GREEN BIOLOGICS LTD"
"WO2017127807A1","BROAD INSTITUTE INC"
"US9738897B2","Regeneron Pharmaceuticals Inc"
"US10064398B2","Kymab Limited"
"WO2016187717A1","EXERKINE CORPORATION"
"US9783618B2","Kymab Limited"
"US9783593B2","Kymab Limited"
"US9788534B2","Kymab Limited"
"WO2017216392A1","DSM IP ASSETS B.V."
"US9938358B2","Kymab Limited"
"US9938357B2","Kymab Limited"
"US9580715B2","Regeneron Pharmaceuticals Inc"
"US9924705B2","Kymab Limited"
"US9505827B2","Kymab Limited"
"US9504236B2","Kymab Limited"
"WO2017189542A1","UNIVERSITY OF GEORGIA"
"WO2017170803A1","ADVANCED TELECOMMUNICATIONS RESEARCH INSTITUTE INTERNATIONAL"
"WO2015089419A3","BROAD INSTITUTE INC"
"EP3375877A1","CRISPR THERAPEUTICS AG"
"EP2828386A1","UNIV VILNIUS"
"EP3155099B1","Regeneron Pharmaceuticals Inc"
